型号,产品名称,产品类型,系列,产品组件,开箱配件/装箱清单,组件抽取状态,组件来源关键词,配件抽取状态,配件来源关键词,来源PDF,PDF链接,型号重复次数,组件来源片段,配件来源片段
ERO218-3,ERO208-3 ERO218-3 owner manual,反渗透净水机,反渗透净水机,"•150mm
机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯）
水龙头及相关配件的组件包（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本","（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本 三．产品功能 以市政自来水为原水，经怡口牌ERO208-3/ ERO218-3型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透...",found,产品组件,found,组件包,ERO208-3 ERO218-3 owner manual.pdf,../ERO208-3 ERO218-3 owner manual.pdf,1,•150mm 1. 机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 3. 水龙头及相关配件的组件包（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本,（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本 三．产品功能 以市政自来水为原水，经怡口牌ERO208-3/ ERO218-3型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后置
ERO208-3S,ERO208-3S、ERO218-3S说明书,反渗透净水机,反渗透净水机,"•150mm
机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯）
水龙头及相关配件的组件包（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本","（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本 三．产品功能 以市政自来水为原水，经怡口牌ERO208-3S/ERO218-3S型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗...",found,产品组件,found,组件包,ERO208-3S、ERO218-3S说明书.pdf,../ERO208-3S、ERO218-3S说明书.pdf,1,•150mm 1. 机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 3. 水龙头及相关配件的组件包（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本,（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本 三．产品功能 以市政自来水为原水，经怡口牌ERO208-3S/ERO218-3S型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后
ERO218-3S,ERO208-3S、ERO218-3S说明书,反渗透净水机,反渗透净水机,"•150mm
机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯）
水龙头及相关配件的组件包（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本","（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本 三．产品功能 以市政自来水为原水，经怡口牌ERO208-3S/ERO218-3S型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗...",found,产品组件,found,组件包,ERO208-3S、ERO218-3S说明书.pdf,../ERO208-3S、ERO218-3S说明书.pdf,1,•150mm 1. 机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 3. 水龙头及相关配件的组件包（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本,（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本 三．产品功能 以市政自来水为原水，经怡口牌ERO208-3S/ERO218-3S型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后
ERO211-3,ERO211-3 纯E系列RO,反渗透净水机,纯E系列,"•150mm
机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯）
水龙头及相关配件的组件包（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本","（限厨下型）
配件包 1份（不同颜色标记软管，油脂袋和管接头）
电源
说明书1本 三．产品功能 以市政自来水为原水，经怡口牌 ERO201-3/ERO211-3型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透...",found,产品组件,found,组件包,ERO211-3 纯E系列RO.pdf,../ERO211-3 纯E系列RO.pdf,1,•150mm 1. 机主体1台 2 滤芯3支（HYBRID CTO复合压缩活性炭滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 3. 水龙头及相关配件的组件包（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本,（限厨下型） 4. 配件包 1份（不同颜色标记软管，油脂袋和管接头） 5. 电源 6. 说明书1本 三．产品功能 以市政自来水为原水，经怡口牌 ERO201-3/ERO211-3型反渗透纯水机处理后，出水水质符合《生活饮用水 水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后置
ERO216-3,ERO216-3 纯E系列RO,反渗透净水机,纯E系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO216-3 纯E系列RO.pdf,../ERO216-3 纯E系列RO.pdf,1,,
ERO220-3,ERO220-3 ERO270-3 Owner Manual,反渗透净水机,反渗透净水机,机主体1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源,"（限厨下型）
配件包
1份（不同颜色标记软管
油脂袋和管接头）
电源",found,产品组件,found,组件包,ERO220-3 ERO270-3 Owner Manual.pdf,../ERO220-3 ERO270-3 Owner Manual.pdf,1,1. 2 3. 4. 5. 机主体1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源,（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源 三．产品功能 以市政自来水为原水，经反渗透纯水机处理后，出水水质符合《生活饮用水水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后置滤芯滤除其他异味，改善口感。经过此处理后，味醇质优的纯水被直接输送至直饮水龙
ERO270-3,ERO220-3 ERO270-3 Owner Manual,反渗透净水机,反渗透净水机,机主体1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源,"（限厨下型）
配件包
1份（不同颜色标记软管
油脂袋和管接头）
电源",found,产品组件,found,组件包,ERO220-3 ERO270-3 Owner Manual.pdf,../ERO220-3 ERO270-3 Owner Manual.pdf,1,1. 2 3. 4. 5. 机主体1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源,（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源 三．产品功能 以市政自来水为原水，经反渗透纯水机处理后，出水水质符合《生活饮用水水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后置滤芯滤除其他异味，改善口感。经过此处理后，味醇质优的纯水被直接输送至直饮水龙
ERO220-3N,ERO220-3N/ERO270-3N型反渗透纯水机,反渗透净水机,反渗透净水机,机主体1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源...,"（限厨下型）
配件包
1份（不同颜色标记软管
油脂袋和管接头）
电源
GM130-24005005DE-30D60",found,产品组件,found,组件包,ERO220-3N_ERO270-3N型反渗透纯水机.pdf,../ERO220-3N_ERO270-3N型反渗透纯水机.pdf,1,1. 2 3. 4. 5. 机主体1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源 GM130-24005005DE-30D60,（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源 GM130-24005005DE-30D60 三•产品功能 以市政自来水为原水，经反渗透纯水机处理后，出水水质符合《生活饮用水水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后置滤芯滤除其他异味，改善口感。经
ERO270-3N,ERO220-3N/ERO270-3N型反渗透纯水机,反渗透净水机,反渗透净水机,机主体1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源...,"（限厨下型）
配件包
1份（不同颜色标记软管
油脂袋和管接头）
电源
GM130-24005005DE-30D60",found,产品组件,found,组件包,ERO220-3N_ERO270-3N型反渗透纯水机.pdf,../ERO220-3N_ERO270-3N型反渗透纯水机.pdf,1,1. 2 3. 4. 5. 机主体1台 滤芯3支（聚丙烯压缩活性炭复合滤芯，RO反渗透滤芯，CTO压缩活性炭滤芯） 水龙头及相关配件的组件包（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源 GM130-24005005DE-30D60,（限厨下型） 配件包 1份（不同颜色标记软管，油脂袋和管接头） 电源 GM130-24005005DE-30D60 三•产品功能 以市政自来水为原水，经反渗透纯水机处理后，出水水质符合《生活饮用水水质处理器卫生安全与功能评价规范 -反渗透处理装置》（2001）的要求。 本产品为反渗透（RO）过滤装置。三根滤芯均需定期及时更换，确保日常新鲜优质纯水的供应。其前置滤芯 可滤除水中余氯产物及沉淀；中间一支为反渗透 RO 滤芯，通过这一特殊薄膜，可滤除水中的可溶性固体，有机物 及重金属；而后置滤芯滤除其他异味，改善口感。经
ERO226-3,ERO226-3 纯E系列RO,反渗透净水机,纯E系列,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO226-3 纯E系列RO.pdf,../ERO226-3 纯E系列RO.pdf,1,,
ERO231-3,ERO231-3 Slim S1 (天猫渠道),反渗透净水机,Slim S1,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO231-3 Slim S1 (天猫渠道).pdf,../ERO231-3 Slim S1 (天猫渠道).pdf,1,,
S1,ERO231-3 Slim S1 (天猫渠道),反渗透净水机,Slim S1,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO231-3 Slim S1 (天猫渠道).pdf,../ERO231-3 Slim S1 (天猫渠道).pdf,2,,
ERO232-3,ERO232-3 Slim S1 (京东渠道),反渗透净水机,Slim S1,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,ERO232-3 Slim S1 (京东渠道).pdf,../ERO232-3 Slim S1 (京东渠道).pdf,1,,
